date,UTLA,confirm,type,GSS_CD
08/03/2020,Wirral,1,UTLA,E08000015
08/03/2020,Wokingham,3,UTLA,E06000041
08/03/2020,Wolverhampton,0,UTLA,E08000031
08/03/2020,Worcestershire,0,UTLA,E10000034
08/03/2020,York,3,UTLA,E06000014
08/03/2020,East of England,23,NHS_region,E40000007
08/03/2020,London,51,NHS_region,E40000003
08/03/2020,Midlands,25,NHS_region,E40000008
08/03/2020,North East and Yorkshire,18,NHS_region,E40000009
08/03/2020,North West,31,NHS_region,E40000010
08/03/2020,South East,41,NHS_region,E40000005
08/03/2020,South West,35,NHS_region,E40000006
08/03/2020,England,244,Country,E92
08/03/2020,Scotland,16,Country,S92
08/03/2020,Ayrshire and Arran,1,NHS_region,S08000015
08/03/2020,Borders,0,NHS_region,S08000016
08/03/2020,Dumfries and Gallow,0,NHS_region,S08000017
08/03/2020,Fife,2,NHS_region,S08000018
08/03/2020,Forth Valley,2,NHS_region,S08000019
08/03/2020,Grampian,4,NHS_region,S08000020
08/03/2020,Greater Glasgow and Clyde,3,NHS_region,S08000021
08/03/2020,Highlands,0,NHS_region,S08000022
08/03/2020,Lanarkshire,2,NHS_region,S08000023
08/03/2020,Lothian,3,NHS_region,S08000024
08/03/2020,Shetland,0,NHS_region,S08000026
08/03/2020,Tayside,1,NHS_region,S08000027
09/03/2020,Barking and Dagenham,0,UTLA,E09000002
09/03/2020,Barnet,5,UTLA,E09000003
09/03/2020,Barnsley,2,UTLA,E08000016
09/03/2020,Bath and North East Somerset,0,UTLA,E06000022
09/03/2020,Bedford,0,UTLA,E06000055
09/03/2020,Bexley,0,UTLA,E09000004
09/03/2020,Birmingham,1,UTLA,E08000025
09/03/2020,Blackburn with Darwen,0,UTLA,E06000008
09/03/2020,Blackpool,0,UTLA,E06000009
09/03/2020,Bolton,3,UTLA,E08000001
09/03/2020,"Bournemouth, Christchurch and Poole",2,UTLA,E06000058
09/03/2020,Bracknell Forest,2,UTLA,E06000036
09/03/2020,Bradford,1,UTLA,E08000032
09/03/2020,Brent,3,UTLA,E09000005
09/03/2020,Brighton and Hove,8,UTLA,E06000043
09/03/2020,"Bristol, City of",2,UTLA,E06000023
09/03/2020,Bromley,1,UTLA,E09000006
09/03/2020,Buckinghamshire,1,UTLA,E10000002
09/03/2020,Bury,3,UTLA,E08000002
09/03/2020,Calderdale,0,UTLA,E08000033
09/03/2020,Cambridgeshire,0,UTLA,E10000003
09/03/2020,Camden,4,UTLA,E09000007
09/03/2020,Central Bedfordshire,0,UTLA,E06000056
09/03/2020,Cheshire East,0,UTLA,E06000049
09/03/2020,Cheshire West and Chester,0,UTLA,E06000050
09/03/2020,Cornwall and Isles of Scilly,4,UTLA,E06000052
09/03/2020,County Durham,0,UTLA,E06000047
09/03/2020,Coventry,2,UTLA,E08000026
09/03/2020,Croydon,0,UTLA,E09000008
09/03/2020,Cumbria,5,UTLA,E10000006
09/03/2020,Darlington,0,UTLA,E06000005
09/03/2020,Derby,0,UTLA,E06000015
09/03/2020,Derbyshire,4,UTLA,E10000007
09/03/2020,Devon,12,UTLA,E10000008
09/03/2020,Doncaster,0,UTLA,E08000017
09/03/2020,Dorset,0,UTLA,E06000059
09/03/2020,Dudley,1,UTLA,E08000027
09/03/2020,Ealing,5,UTLA,E09000009
09/03/2020,East Riding of Yorkshire,0,UTLA,E06000011
09/03/2020,East Sussex,0,UTLA,E10000011
09/03/2020,Enfield,1,UTLA,E09000010
09/03/2020,Essex,5,UTLA,E10000012
09/03/2020,Gateshead,0,UTLA,E08000037
09/03/2020,Gloucestershire,3,UTLA,E10000013
09/03/2020,Greenwich,0,UTLA,E09000011
09/03/2020,Hackney and City of London,2,UTLA,E09000012
09/03/2020,Halton,0,UTLA,E06000006
09/03/2020,Hammersmith and Fulham,2,UTLA,E09000013
09/03/2020,Hampshire,8,UTLA,E10000014
09/03/2020,Haringey,0,UTLA,E09000014
09/03/2020,Harrow,1,UTLA,E09000015
09/03/2020,Hartlepool,0,UTLA,E06000001
09/03/2020,Havering,2,UTLA,E09000016
09/03/2020,"Herefordshire, County of",0,UTLA,E06000019
09/03/2020,Hertfordshire,13,UTLA,E10000015
09/03/2020,Hillingdon,1,UTLA,E09000017
09/03/2020,Hounslow,3,UTLA,E09000018
09/03/2020,Isle of Wight,1,UTLA,E06000046
09/03/2020,Islington,0,UTLA,E09000019
09/03/2020,Kensington and Chelsea,8,UTLA,E09000020
09/03/2020,Kent,4,UTLA,E10000016
09/03/2020,"Kingston upon Hull, City of",1,UTLA,E06000010
09/03/2020,Kingston upon Thames,1,UTLA,E09000021
09/03/2020,Kirklees,0,UTLA,E08000034
09/03/2020,Knowsley,0,UTLA,E08000011
09/03/2020,Lambeth,3,UTLA,E09000022
09/03/2020,Lancashire,4,UTLA,E10000017
09/03/2020,Leeds,5,UTLA,E08000035
09/03/2020,Leicester,0,UTLA,E06000016
09/03/2020,Leicestershire,2,UTLA,E10000018
09/03/2020,Lewisham,3,UTLA,E09000023
09/03/2020,Lincolnshire,1,UTLA,E10000019
09/03/2020,Liverpool,5,UTLA,E08000012
09/03/2020,Luton,2,UTLA,E06000032
09/03/2020,Manchester,5,UTLA,E08000003
09/03/2020,Medway,2,UTLA,E06000035
09/03/2020,Merton,1,UTLA,E09000024
09/03/2020,Middlesbrough,0,UTLA,E06000002
09/03/2020,Milton Keynes,1,UTLA,E06000042
09/03/2020,Newcastle upon Tyne,4,UTLA,E08000021
09/03/2020,Newham,0,UTLA,E09000025
09/03/2020,Norfolk,0,UTLA,E10000020
09/03/2020,North East Lincolnshire,0,UTLA,E06000012
09/03/2020,North Lincolnshire,0,UTLA,E06000013
09/03/2020,North Somerset,0,UTLA,E06000024
09/03/2020,North Tyneside,1,UTLA,E08000022
09/03/2020,North Yorkshire,0,UTLA,E10000023
09/03/2020,Northamptonshire,4,UTLA,E10000021
09/03/2020,Northumberland,0,UTLA,E06000057
09/03/2020,Nottingham,2,UTLA,E06000018
09/03/2020,Nottinghamshire,5,UTLA,E10000024
09/03/2020,Oldham,4,UTLA,E08000004
09/03/2020,Oxfordshire,5,UTLA,E10000025
09/03/2020,Peterborough,1,UTLA,E06000031
09/03/2020,Plymouth,0,UTLA,E06000026
09/03/2020,Portsmouth,0,UTLA,E06000044
09/03/2020,Reading,0,UTLA,E06000038
09/03/2020,Redbridge,1,UTLA,E09000026
09/03/2020,Redcar and Cleveland,0,UTLA,E06000003
09/03/2020,Richmond upon Thames,0,UTLA,E09000027
09/03/2020,Rochdale,0,UTLA,E08000005
09/03/2020,Rotherham,0,UTLA,E08000018
09/03/2020,Rutland,0,UTLA,E06000017
09/03/2020,Salford,0,UTLA,E08000006
09/03/2020,Sandwell,0,UTLA,E08000028
09/03/2020,Sefton,0,UTLA,E08000014
09/03/2020,Sheffield,0,UTLA,E08000019
09/03/2020,Shropshire,0,UTLA,E06000051
09/03/2020,Slough,0,UTLA,E06000039
09/03/2020,Solihull,0,UTLA,E08000029
09/03/2020,Somerset,2,UTLA,E10000027
09/03/2020,South Gloucestershire,0,UTLA,E06000025
09/03/2020,South Tyneside,0,UTLA,E08000023
09/03/2020,Southampton,0,UTLA,E06000045
09/03/2020,Southend-on-Sea,1,UTLA,E06000033
09/03/2020,Southwark,5,UTLA,E09000028
09/03/2020,St. Helens,0,UTLA,E08000013
09/03/2020,Staffordshire,4,UTLA,E10000028
09/03/2020,Stockport,0,UTLA,E08000007
09/03/2020,Stockton-on-Tees,0,UTLA,E06000004
09/03/2020,Stoke-on-Trent,0,UTLA,E06000021
09/03/2020,Suffolk,1,UTLA,E10000029
09/03/2020,Sunderland,1,UTLA,E08000024
09/03/2020,Surrey,6,UTLA,E10000030
09/03/2020,Sutton,1,UTLA,E09000029
09/03/2020,Swindon,2,UTLA,E06000030
09/03/2020,Tameside,1,UTLA,E08000008
09/03/2020,Telford and Wrekin,0,UTLA,E06000020
09/03/2020,Thurrock,0,UTLA,E06000034
09/03/2020,Torbay,7,UTLA,E06000027
09/03/2020,Tower Hamlets,1,UTLA,E09000030
09/03/2020,Trafford,4,UTLA,E08000009
09/03/2020,Wakefield,0,UTLA,E08000036
09/03/2020,Walsall,0,UTLA,E08000030
09/03/2020,Waltham Forest,1,UTLA,E09000031
09/03/2020,Wandsworth,3,UTLA,E09000032
09/03/2020,Warrington,0,UTLA,E06000007
09/03/2020,Warwickshire,4,UTLA,E10000031
09/03/2020,West Berkshire,0,UTLA,E06000037
09/03/2020,West Sussex,3,UTLA,E10000032
09/03/2020,Westminster,3,UTLA,E09000033
09/03/2020,Wigan,3,UTLA,E08000010
09/03/2020,Wiltshire,3,UTLA,E06000054
09/03/2020,Windsor and Maidenhead,0,UTLA,E06000040
09/03/2020,Wirral,1,UTLA,E08000015
09/03/2020,Wokingham,3,UTLA,E06000041
09/03/2020,Wolverhampton,2,UTLA,E08000031
09/03/2020,Worcestershire,0,UTLA,E10000034
09/03/2020,York,3,UTLA,E06000014
09/03/2020,East of England,24,NHS_region,E40000007
09/03/2020,London,61,NHS_region,E40000003
09/03/2020,Midlands,31,NHS_region,E40000008
09/03/2020,North East and Yorkshire,22,NHS_region,E40000009
09/03/2020,North West,35,NHS_region,E40000010
09/03/2020,South East,43,NHS_region,E40000005
09/03/2020,South West,38,NHS_region,E40000006
09/03/2020,England,280,Country,E92
09/03/2020,Scotland,23,Country,S92
09/03/2020,Ayrshire and Arran,1,NHS_region,S08000015
09/03/2020,Borders,0,NHS_region,S08000016
09/03/2020,Dumfries and Gallow,0,NHS_region,S08000017
09/03/2020,Fife,2,NHS_region,S08000018
09/03/2020,Forth Valley,2,NHS_region,S08000019
09/03/2020,Grampian,4,NHS_region,S08000020
09/03/2020,Greater Glasgow and Clyde,3,NHS_region,S08000021
09/03/2020,Highlands,0,NHS_region,S08000022
09/03/2020,Lanarkshire,3,NHS_region,S08000023
09/03/2020,Lothian,5,NHS_region,S08000024
09/03/2020,Shetland,2,NHS_region,S08000026
09/03/2020,Tayside,1,NHS_region,S08000027
10/03/2020,Barking and Dagenham,1,UTLA,E09000002
10/03/2020,Barnet,8,UTLA,E09000003
10/03/2020,Barnsley,2,UTLA,E08000016
10/03/2020,Bath and North East Somerset,0,UTLA,E06000022
10/03/2020,Bedford,0,UTLA,E06000055
10/03/2020,Bexley,0,UTLA,E09000004
10/03/2020,Birmingham,1,UTLA,E08000025
10/03/2020,Blackburn with Darwen,0,UTLA,E06000008
10/03/2020,Blackpool,0,UTLA,E06000009
10/03/2020,Bolton,3,UTLA,E08000001
10/03/2020,"Bournemouth, Christchurch and Poole",3,UTLA,E06000058
10/03/2020,Bracknell Forest,2,UTLA,E06000036
10/03/2020,Bradford,1,UTLA,E08000032
10/03/2020,Brent,3,UTLA,E09000005
10/03/2020,Brighton and Hove,8,UTLA,E06000043
10/03/2020,"Bristol, City of",2,UTLA,E06000023
10/03/2020,Bromley,2,UTLA,E09000006
10/03/2020,Buckinghamshire,2,UTLA,E10000002
10/03/2020,Bury,3,UTLA,E08000002
10/03/2020,Calderdale,0,UTLA,E08000033
10/03/2020,Cambridgeshire,1,UTLA,E10000003
10/03/2020,Camden,5,UTLA,E09000007
10/03/2020,Central Bedfordshire,0,UTLA,E06000056
10/03/2020,Cheshire East,0,UTLA,E06000049
10/03/2020,Cheshire West and Chester,0,UTLA,E06000050
10/03/2020,Cornwall and Isles of Scilly,4,UTLA,E06000052
10/03/2020,County Durham,1,UTLA,E06000047
10/03/2020,Coventry,3,UTLA,E08000026
10/03/2020,Croydon,1,UTLA,E09000008
10/03/2020,Cumbria,7,UTLA,E10000006
10/03/2020,Darlington,0,UTLA,E06000005
